strain,date,DaysSinceRoot,Mutations
SouthAfrica/NHLS-UCT-GS-BJ36/2022,5/3/22,859,80
SouthAfrica/NHLS-UCT-GS-BJ37/2022,5/5/22,861,83
SouthAfrica/NHLS-UCT-GS-BJ38/2022,5/5/22,861,81
SouthAfrica/NHLS-UCT-GS-BJ39/2022,5/3/22,859,82
SouthAfrica/NHLS-UCT-GS-BJ40/2022,5/4/22,860,81
SouthAfrica/NHLS-UCT-GS-BJ41/2022,5/4/22,860,81
SouthAfrica/NHLS-UCT-GS-BJ42/2022,5/2/22,858,82
SouthAfrica/NHLS-UCT-GS-BJ43/2022,5/4/22,860,79
SouthAfrica/NHLS-UCT-GS-BJ44/2022,5/4/22,860,86
SouthAfrica/NHLS-UCT-GS-BJ45/2022,5/5/22,861,84
SouthAfrica/NHLS-UCT-GS-BJ46/2022,5/5/22,861,83
SouthAfrica/NHLS-UCT-GS-BJ47/2022,5/5/22,861,78
SouthAfrica/NHLS-UCT-GS-BJ48/2022,5/5/22,861,79
SouthAfrica/NHLS-UCT-GS-BJ49/2022,5/5/22,861,80
SouthAfrica/NHLS-UCT-GS-BJ50/2022,5/4/22,860,78
SouthAfrica/NHLS-UCT-GS-BJ51/2022,5/4/22,860,80
SouthAfrica/NHLS-UCT-GS-BJ52/2022,5/6/22,862,82
SouthAfrica/NHLS-UCT-GS-BJ53/2022,5/6/22,862,78
SouthAfrica/NHLS-UCT-GS-BJ54/2022,5/4/22,860,80
SouthAfrica/NHLS-UCT-GS-BJ55/2022,5/5/22,861,82
SouthAfrica/NHLS-UCT-GS-BJ56/2022,5/5/22,861,82
SouthAfrica/NHLS-UCT-GS-BJ57/2022,5/5/22,861,80
SouthAfrica/NHLS-UCT-GS-BJ58/2022,5/4/22,860,82
SouthAfrica/NHLS-UCT-GS-BJ60/2022,5/4/22,860,80
SouthAfrica/NHLS-UCT-GS-D050/2021,7/8/21,560,36
SouthAfrica/NHLS-UCT-GS-I620/2021,9/8/21,622,37
SouthAfrica/NHLS-UCT-LA-Z838/2022,1/18/22,754,74
SouthAfrica/NHLS-UCT-LA-Z842/2022,1/19/22,755,72
SouthAfrica/NHLS-UCT-LA-Z849/2022,1/26/22,762,73
SouthAfrica/NHLS-UCT-LA-Z851/2022,1/26/22,762,73
SouthAfrica/NHLS-UCT-LA-Z854/2022,1/26/22,762,73
SouthAfrica/NHLS-UCT-LA-Z855/2022,1/26/22,762,75
SouthAfrica/NHLS-UCT-LA-Z856/2022,1/26/22,762,80
SouthAfrica/NHLS-UCT-LA-Z857/2022,1/26/22,762,55
SouthAfrica/NHLS-UCT-LA-Z858/2022,1/26/22,762,56
SouthAfrica/NHLS-UCT-LA-Z862/2022,1/31/22,767,55
SouthAfrica/NHLS-UCT-LA-Z865/2022,2/1/22,768,73
SouthAfrica/NHLS-UCT-LA-Z866/2022,2/1/22,768,73
SouthAfrica/NHLS-UCT-LA-Z894/2022,2/16/22,783,75
SouthAfrica/NHLS-UCT-LA-Z902/2022,2/23/22,790,77
SouthAfrica/NHLS-UCT-LA-Z904/2022,2/23/22,790,76
SouthAfrica/NHLS-UCT-LA-Z905/2022,2/23/22,790,76
SouthAfrica/NHLS-UCT-LA-Z907/2022,2/23/22,790,73
SouthAfrica/NHLS-UCT-LA-Z911/2022,3/2/22,797,78
SouthAfrica/NHLS-UCT-LA-Z914/2022,3/2/22,797,73
SouthAfrica/NHLS-UCT-LA-Z928/2022,3/9/22,804,74
SouthAfrica/NHLS-UCT-LA-Z930/2022,3/9/22,804,77
SouthAfrica/NHLS-UCT-LA-Z932/2022,3/9/22,804,76
SouthAfrica/NHLS-UCT-LA-Z943/2022,3/16/22,811,75
SouthAfrica/NHLS-UCT-LA-Z947/2022,3/23/22,818,74
SouthAfrica/NHLS-UCT-LA-Z955/2022,3/23/22,818,79
SouthAfrica/NHLS-UCT-LA-Z959/2022,3/30/22,825,77
SouthAfrica/NHLS-UCT-LA-Z960/2022,3/30/22,825,75
SouthAfrica/NHLS-UCT-LA-Z970/2022,4/13/22,839,81
SouthAfrica/NHLS-UCT-LA-Z973/2022,4/13/22,839,76
SouthAfrica/NHLS-UCT-LA-Z982/2022,4/20/22,846,83
SouthAfrica/NHLS-UCT-LA-Z984/2022,4/20/22,846,80
SouthAfrica/NHLS-UCT-LA-Z985/2022,4/20/22,846,79
SouthAfrica/NHLS-UCT-LA-Z988/2022,4/20/22,846,82
SouthAfrica/NHLS-UCT-LA-Z995/2022,4/26/22,852,76
SouthAfrica/NHLS-UCT-LA-Z997/2022,4/26/22,852,81
SouthAfrica/NHLS-UCT-LA-Z998/2022,4/26/22,852,83
SouthAfrica/NHLS-UCT-LA-ZA02/2022,4/26/22,852,80
SouthAfrica/NHLS-UCT-LA-ZA03/2022,4/26/22,852,81
SouthAfrica/NHLS-UCT-LA-ZA06/2022,5/4/22,860,82
SouthAfrica/NHLS-UCT-LA-ZA07/2022,5/4/22,860,81
SouthAfrica/NHLS-UCT-LA-ZA08/2022,5/4/22,860,79
SouthAfrica/NHLS-UCT-LA-ZA09/2022,5/4/22,860,75
SouthAfrica/NHLS-UCT-LA-ZA10/2022,5/4/22,860,84
SouthAfrica/NHLS-UCT-LA-ZA11/2022,5/4/22,860,79
SouthAfrica/NHLS-UCT-LA-ZA12/2022,5/4/22,860,81
SouthAfrica/NHLS-UCT-LA-ZA14/2022,5/4/22,860,80
SouthAfrica/NHLS-UCT-LA-ZA15/2022,5/4/22,860,76
SouthAfrica/NHLS-UCT-LA-ZA16/2022,5/4/22,860,83
SouthAfrica/NHLS-UCT-LA-ZA17/2022,5/4/22,860,81
SRB/LI00536-09-11/2020,11/9/20,319,15
SRB/NI08513-27-08/2020,8/26/20,244,15
SRB/NP1764-14-05/2020,5/13/20,139,11
SRB/NS21072-25-06/2020,6/24/20,181,15
SRB/NS21228-25-06/2020,6/24/20,181,13
SRB/SU10136-06-05/2020,5/5/20,131,7
SRB/SU19854-17-06/2020,6/16/20,173,13
SUR/Zeta-EMC-1/2020,12/16/20,356,23
SWE/000200117338/2021,8/10/21,593,37
SWE/01/2020,2/7/20,43,7
Switzerland/AG-ETHZ-33785445/2021,8/18/21,601,39
Switzerland/AG-ETHZ-35947261/2022,1/23/22,759,57
Switzerland/AG-ETHZ-36447132/2022,2/21/22,788,58
Switzerland/AG-ETHZ-36533423/2022,2/27/22,794,76
Switzerland/AG-ETHZ-37369902/2022,5/4/22,860,80
Switzerland/AG-ETHZ-37669047/2022,6/5/22,892,79
Switzerland/AG-UZH-IMV-3ba5bcdb/2022,1/18/22,754,57
Switzerland/AI-CLM-02144387/2022,2/14/22,781,60
Switzerland/BE-IFIK-220207_os_30/2022,1/31/22,767,61
Switzerland/BE-IFIK-220207_os_56/2022,1/31/22,767,57
Switzerland/BE-IFIK-220207_os_68/2022,1/31/22,767,56
Switzerland/BE-IFIK-220509_os_66/2022,4/30/22,856,83
Switzerland/BE-IFIK-220620_os_22/2022,6/2/22,889,82
Switzerland/BE-IFIK-6204-0442/2022,1/24/22,760,56
Switzerland/BE-IFIK-7416-3284/2022,3/14/22,809,74
Switzerland/BE-IFIK-7578-4593/2022,3/20/22,815,77
Switzerland/BE-IFIK-7776-1677/2022,3/28/22,823,64
Switzerland/BE-SRO-500009_1402/2022,3/12/22,807,80
Switzerland/BL-ETHZ-36487516/2022,2/23/22,790,59
Switzerland/BL-ETHZ-36656384/2022,3/7/22,802,65
Switzerland/BL-ETHZ-37546445/2022,5/21/22,877,81
Switzerland/BL-ETHZ-380283/2020,11/25/20,335,16
Switzerland/BL-UHB-43376931/2022,3/2/22,797,58
Switzerland/BL-UHB-5xr45n8/2022,7/1/22,918,85
Switzerland/BS-UHB-28068nk/2022,4/1/22,827,60
Switzerland/BS-UHB-42425618/2020,9/4/20,253,20
Switzerland/BS-UHB-43364806/2022,2/24/22,791,77
Switzerland/BS-UHB-43396067/2022,3/14/22,809,56
Switzerland/BS-UHB-48r23dy/2022,6/22/22,909,81
Switzerland/BS-UHB-dxe0xly/2022,4/1/22,827,57
Switzerland/BS-UHB-dxyprko/2022,7/2/22,919,81
Switzerland/BS-UHB-mn4ll38/2022,7/3/22,920,83
Switzerland/BS-UHB-vx9pdl8/2022,7/2/22,919,82
Switzerland/FR-ETHZ-37081752/2022,4/4/22,830,81
Switzerland/GE-HUG-37534021/2022,3/21/22,816,75
Switzerland/GE-HUG-37921223/2022,4/29/22,855,80
Switzerland/GE-HUG-37983379/2022,5/5/22,861,61
Switzerland/GE-HUG-38143664/2022,5/23/22,879,76
Switzerland/GE-HUG-38291519/2022,6/8/22,895,80
Switzerland/GE-SNRCI-29943121/2020,2/27/20,63,5
Switzerland/GR-ETHZ-674128/2022,2/19/22,786,65
Switzerland/GR-ETHZ-674515/2022,3/20/22,815,77
Switzerland/JU-Risch-20220525R11739/2022,5/25/22,881,78
Switzerland/LU-DIA-011450888001/2022,4/18/22,844,78
Switzerland/LU-DIA-011452070001/2022,5/2/22,858,78
Switzerland/LU-ETHZ-676122/2022,7/2/22,919,84
Switzerland/SG-CLM-03104481/2022,3/10/22,805,77
Switzerland/SG-ETHZ-675081/2022,5/13/22,869,83
Switzerland/SG-ETHZ-675082/2022,5/13/22,869,82
Switzerland/SG-ETHZ-676111/2022,7/2/22,919,84
Switzerland/SO-ETHZ-37164018/2022,4/11/22,837,78
Switzerland/SO-ETHZ-37164140/2022,4/11/22,837,78
Switzerland/SO-ETHZ-37186625/2022,4/13/22,839,77
Switzerland/SO-ETHZ-37420100/2022,5/10/22,866,80
Switzerland/SZ-Risch-2241303407/2022,4/8/22,834,77
Switzerland/TG-ETHZ-676125/2022,7/2/22,919,86
Switzerland/TG-ETHZ-676126/2022,7/2/22,919,89
Switzerland/TG-ETHZ-676128/2022,7/3/22,920,89
Switzerland/TI-EOC-26654148/2022,2/8/22,775,60
Switzerland/TI-EOC-26722177/2022,3/2/22,797,61
Switzerland/TI-EOC-676084/2022,7/1/22,918,85
Switzerland/TI-ETHZ-35968222/2022,1/24/22,760,58
Switzerland/TI-ETHZ-36541701/2022,2/28/22,795,76
Switzerland/TI-ETHZ-675116/2022,5/27/22,883,78
Switzerland/TI-ETHZ-675228/2022,6/1/22,888,80
Switzerland/UN-ETHZ-676127/2022,7/3/22,920,85
Switzerland/VD-CHUV-GEN10516/2022,1/29/22,765,56
Switzerland/VD-CHUV-GEN12163/2022,6/15/22,902,85
Switzerland/VD-CHUV-GEN12203/2022,6/20/22,907,83
Switzerland/VD-CHUV-GEN12269/2022,7/2/22,919,82
Switzerland/VD-ETHZ-35845020/2022,1/18/22,754,59
Switzerland/VD-ETHZ-35979637/2022,1/25/22,761,59
Switzerland/VD-ETHZ-36087841/2022,1/29/22,765,60
Switzerland/VD-ETHZ-36591102/2022,3/2/22,797,81
Switzerland/VS-ETHZ-36335154/2022,2/13/22,780,58
Switzerland/VS-ETHZ-37735347/2022,6/14/22,901,88
Switzerland/VS-HUG-37546955/2022,3/22/22,817,79
Switzerland/VS-ICH-2220250423/2022,2/22/22,789,62
Switzerland/VS-ICH-2220629727/2022,6/16/22,903,83
Switzerland/ZH-ETHZ-340012/2020,10/23/20,302,23
Switzerland/ZH-ETHZ-36096304/2022,1/31/22,767,58
Switzerland/ZH-ETHZ-36399818/2022,2/17/22,784,59
Switzerland/ZH-ETHZ-36456059/2022,2/22/22,789,59
Switzerland/ZH-ETHZ-36533565/2022,2/27/22,794,76
Switzerland/ZH-ETHZ-37067870/2022,4/3/22,829,77
Switzerland/ZH-ETHZ-530252/2020,11/12/20,322,26
Switzerland/ZH-ETHZ-676113/2022,7/2/22,919,83
Switzerland/ZH-ETHZ-676115/2022,7/1/22,918,89
Switzerland/ZH-UZH-IMV-3ba5c237/2022,1/19/22,755,54
Switzerland/ZH-UZH-IMV-3ba5c4cb/2022,1/18/22,754,57
Switzerland/ZH-UZH-IMV-3ba62a1e/2022,4/13/22,839,78
Switzerland/ZH-UZH-IMV-3ba639b6/2022,5/10/22,866,80
Switzerland/ZH-UZH-IMV-3ba64b49/2022,6/16/22,903,84
Switzerland/ZH-UZH-IMV-3ba64f41/2022,6/25/22,912,86
Switzerland/ZH-UZH-IMV-3ba65095/2022,6/30/22,917,84
Switzerland/ZH-UZH-IMV-4625ca2d/2022,2/8/22,775,55
Switzerland/ZH-UZH-IMV-467760be/2022,6/7/22,894,54
SYC/SS2592/2021,7/12/21,564,37
SYC/SS459/2021,4/12/21,473,34
SYC/SS7692/2022,1/18/22,754,58
SYC/SS7693/2022,1/22/22,758,57
SYC/SS7696/2022,1/18/22,754,56
SYC/SS7697/2022,1/19/22,755,56
SYC/SS7698/2022,1/19/22,755,57
SYC/SS7700/2022,1/19/22,755,60
SYC/SS7701/2022,1/19/22,755,56
SYC/SS7702/2022,1/20/22,756,55
SYC/SS7703/2022,1/20/22,756,56
SYC/SS7704/2022,1/20/22,756,57
SYC/SS7705/2022,1/21/22,757,56
SYC/SS7707/2022,1/21/22,757,56
SYC/SS7709/2022,1/21/22,757,63
SYC/SS7710/2022,1/21/22,757,55
SYC/SS7712/2022,1/21/22,757,57
SYC/SS7714/2022,1/22/22,758,58
SYC/SS7715/2022,1/22/22,758,57
SYC/SS7716/2022,1/22/22,758,59
SYC/SS7717/2022,1/22/22,758,58
SYC/SS7721/2022,1/24/22,760,57
SYC/SS7723/2022,1/24/22,760,58
SYC/SS7727/2022,1/24/22,760,55
SYC/SS7735/2022,1/27/22,763,57
SYC/SS7736/2022,1/27/22,763,59
SYC/SS7738/2022,1/28/22,764,58
SYC/SS7740/2022,1/28/22,764,56
SYC/SS7741/2022,1/28/22,764,57
SYC/SS7743/2022,1/28/22,764,60
SYC/SS7746/2022,1/29/22,765,62
SYC/SS7748/2022,1/29/22,765,56
SYC/SS7749/2022,1/29/22,765,57
SYC/SS7750/2022,1/31/22,767,56
SYC/SS7752/2022,1/31/22,767,56
SYC/SS7754/2022,1/31/22,767,74
SYC/SS7755/2022,1/31/22,767,57
SYC/SS7756/2022,1/31/22,767,59
SYC/SS7757/2022,1/31/22,767,55
SYC/SS7758/2022,1/31/22,767,57
SYC/SS7759/2022,1/31/22,767,55
SYC/SS7762/2022,2/1/22,768,58
SYC/SS7763/2022,1/31/22,767,56
TGO/nmimr-TG-SARS-CoV-2-TGS-015-21/2020,12/22/20,362,24
TGO/nmimr-TG-SARS-CoV-2-TGS-060-21/2021,2/25/21,427,27
THA/AFRIMS-COV10405/2022,2/7/22,774,56
THA/CONI-0088/2020,4/7/20,103,11
THA/CONI-0139/2020,3/13/20,78,9
THA/CONI-0146/2020,3/15/20,80,10
THA/CONI-0287/2020,11/3/20,313,23
THA/CONI-0323/2020,5/12/20,138,14
THA/CONI-0399/2020,12/19/20,359,16
THA/CONI-0610/2021,3/3/21,433,20
THA/CONI-0667/2021,4/5/21,466,35
THA/CONI-1171/2021,8/28/21,611,40
THA/CONI-1265/2021,11/12/21,687,42
THA/CONI-1405/2021,12/22/21,727,47
THA/CONI-1491/2022,1/7/22,743,57
THA/CONI-1705/2022,1/14/22,750,58
THA/CONI-1840/2022,1/18/22,754,59
THA/CONI-1846/2022,1/19/22,755,59
THA/CONI-1893/2022,1/20/22,756,58
THA/CONI-1895/2022,1/20/22,756,61
THA/CONI-1905/2022,1/24/22,760,56
THA/CONI-1926/2022,1/25/22,761,59
THA/CONI-1930/2022,1/25/22,761,60
THA/CONI-1959/2022,1/24/22,760,76
THA/CONI-1965/2022,1/29/22,765,60
THA/CONI-1974/2022,1/29/22,765,60
THA/CONI-1978/2022,1/29/22,765,59
THA/CONI-2006/2022,1/31/22,767,57
THA/CONI-2012/2022,1/31/22,767,58
THA/CONI-2029/2022,2/2/22,769,60
THA/CONI-2076/2022,2/2/22,769,59
THA/CONI-2090/2022,2/3/22,770,59
THA/CONI-2102/2022,2/3/22,770,57
THA/CONI-2306/2022,2/13/22,780,58
THA/CONI-2427/2022,3/4/22,799,60
THA/CONI-2433/2022,3/5/22,800,76
THA/CONI-2451/2022,3/6/22,801,76
THA/CONI-2497/2022,3/16/22,811,79
THA/CONI-2554/2022,3/24/22,819,58
THA/CONI-2565/2022,3/24/22,819,77
THA/CONI-2598/2022,3/17/22,812,76
THA/CONI-2619/2022,3/12/22,807,75
THA/CONI-2630/2022,3/13/22,808,76
THA/CONI-2650/2022,3/28/22,823,77
THA/CONI-2654/2022,3/29/22,824,81
THA/CONI-2661/2022,2/26/22,793,75
THA/CONI-2679/2022,2/27/22,794,74
THA/CONI-2737/2022,3/30/22,825,77
THA/CONI-2747/2022,3/31/22,826,74
THA/CONI-2771/2022,2/15/22,782,58
THA/CONI-2795/2022,2/16/22,783,57
THA/CONI-2849/2022,2/17/22,784,78
THA/CONI-2866/2022,4/2/22,828,77
THA/CONI-2885/2022,4/4/22,830,76
THA/CONI-2887/2022,4/5/22,831,78
THA/CONI-2910/2022,4/14/22,840,77
THA/CONI-2914/2022,4/14/22,840,77
THA/CONI-2921/2022,4/14/22,840,78
THA/CONI-2935/2022,4/17/22,843,82
THA/CONI-2998/2022,4/10/22,836,83
THA/CONI-3034/2022,2/19/22,786,59
THA/CONI-3063/2022,2/21/22,788,58
THA/CONI-3075/2022,4/19/22,845,79
THA/CONI-3084/2022,4/20/22,846,79
THA/CONI-3095/2022,4/21/22,847,79
THA/CONI-3101/2022,4/23/22,849,75
THA/CONI-3110/2022,4/24/22,850,77
THA/CONI-3123/2022,4/25/22,851,77
THA/CONI-3148/2022,2/22/22,789,76
THA/CONI-3184/2022,5/8/22,864,80
THA/CONI-3194/2022,5/8/22,864,81
THA/CONI-3198/2022,5/8/22,864,78
THA/CONI-3199/2022,5/8/22,864,78
THA/CONI-3204/2022,5/10/22,866,76
THA/CONI-3205/2022,5/11/22,867,79
THA/CONI-3209/2022,5/12/22,868,75
THA/CONI-3215/2022,5/13/22,869,78
THA/CONI-3225/2022,5/17/22,873,80
THA/CONI-3229/2022,5/19/22,875,81
THA/CONI-3234/2022,5/21/22,877,82
THA/CONI-3246/2022,5/26/22,882,77
THA/CONI-3249/2022,5/31/22,887,77
THA/CONI-3257/2022,5/31/22,887,81
THA/CONI-3258/2022,6/3/22,890,76
THA/CONI-3259/2022,6/3/22,890,83
THA/CONI-3261/2022,6/22/22,909,83
THA/CONI-3262/2022,6/22/22,909,81
THA/CONI-3263/2022,6/22/22,909,81
THA/CONI-3264/2022,6/18/22,905,80
THA/CONI-3266/2022,6/19/22,906,84
THA/CONI-3267/2022,6/20/22,907,77
THA/CONI-3268/2022,6/20/22,907,82
THA/CONI-3269/2022,6/20/22,907,82
THA/CONI-3271/2022,6/19/22,906,80
THA/CONI-3272/2022,6/18/22,905,79
THA/SI202205-NT/2020,2/7/20,43,4
THA/SI202620-NT/2020,2/22/20,58,6
TLS/TL25/2020,3/30/20,95,8
TUN/TUN_ADAGE_4761/2020,7/7/20,194,11
TUN/TUN_ADAGE_9-12622/2020,9/20/20,269,18
TUN/TUN_ADAGE_EZ224/2020,5/27/20,153,9
TUN/TUN_ADAGE_EZ432/2020,5/30/20,156,11
TUN/TUN_ADAGE_EZ504/2020,5/31/20,157,11
TUN/TUN-20203913/2020,3/16/20,81,8
TUN/TUN-IPT-Q8734/2021,2/20/21,422,28
TUR/ERAGEM-DEL-1103/2021,10/5/21,649,47
TUR/ERAGEM-OM-1104/2022,2/11/22,778,60
TUR/KOC-IST-B288/2020,3/26/20,91,12
TUR/KOC-IST-B316/2020,3/29/20,94,7
TUR/KOC-IST-B91/2020,4/8/20,104,9
TWN/CGMH-CGU-01/2020,1/25/20,30,0
TWN/CGMH-CGU-100/2021,11/20/21,695,38
TWN/CGMH-CGU-118/2021,12/20/21,725,54
TWN/CGMH-CGU-130/2022,1/1/22,737,56
TWN/CGMH-CGU-149/2022,1/8/22,744,37
TWN/CGMH-CGU-53/2021,1/28/21,399,35
TWN/CGMH-CGU-58/2021,3/1/21,431,36
TWN/CGMH-CGU-83/2021,7/8/21,560,39
UGA/MAKCHScov19/2020,10/22/20,301,15
UGA/MAKCHScov8/2021,2/19/21,421,15
UGA/MUWRP-KIR200040S/2020,7/31/20,218,9
UGA/MUWRP-KIR200098/2020,8/26/20,244,17
UGA/MUWRP-KIR200176S/2020,12/1/20,341,21
UGA/MUWRP-KIR210110S/2021,5/18/21,509,32
UGA/MUWRP-KIR210128S/2021,5/31/21,522,35
UGA/MUWRP-KIR210131S/2021,6/1/21,523,37
UGA/MUWRP-KIR210555S/2021,10/19/21,663,37
UGA/MUWRP-MUL013N/2020,11/30/20,340,24
UGA/MUWRP-MUL210273/2021,5/31/21,522,32
URY/1045_del4/2020,10/8/20,287,22
URY/1633_del4/2020,11/10/20,320,22
URY/380/2021,3/11/21,441,28
URY/649_N.7_del12/2020,8/19/20,237,15
URY/731_N.7_del12/2020,9/1/20,250,18
URY/M284/2020,7/14/20,201,15
URY/Mdeo-1/2020,3/13/20,78,4
USA/1014841101_4-14-22/2022,3/18/22,813,58
USA/1015066618_5-11-2022/2022,4/28/22,854,75
USA/1015388565_6-30-2022/2022,6/27/22,914,79
USA/1089488/2020,7/1/20,188,11
USA/1636434/2021,3/24/21,454,23
USA/1731403/2021,6/16/21,538,35
USA/2025856/2022,1/24/22,760,57
USA/2062100/2022,3/8/22,803,56
USA/2084074/2022,4/19/22,845,77
USA/20U189MD00114_2-23-2022/2020,7/7/20,194,9
USA/2119995/2022,5/26/22,882,82
USA/2123990/2022,6/19/22,906,83
USA/2218200000127-31-F1-1/2022,7/1/22,918,87
USA/42999/2020,11/24/20,334,23
USA/AK-CDC-LC0512218/2022,1/23/22,759,55
USA/AK-CDC-LC0582236/2022,4/13/22,839,76
USA/AK-CDC-LC0658363/2022,5/15/22,871,78
USA/AK-CDC-LC0706570/2022,6/9/22,896,81
USA/AK-CDC-LC0757353/2022,7/1/22,918,83
USA/AK-PHL14713/2021,10/19/21,663,43
USA/AK-PHL18374/2022,2/27/22,794,80
USA/AK-PHL19048/2022,3/11/22,806,61
USA/AK-PHL7211/2021,2/15/21,417,18
USA/AL-CDC-ASC210013619/2021,3/20/21,450,33
USA/AL-CDC-ASC210603812/2022,1/20/22,756,60
USA/AL-CDC-ASC210649788/2022,2/2/22,769,59
USA/AL-CDC-ASC210851408/2022,4/4/22,830,79
USA/AL-CDC-LC0569699/2022,3/15/22,810,62
USA/AL-CDC-STM-Q7WDBKMZF/2022,7/2/22,919,83
USA/AL-CDC-STM-T9YBCKKZG/2022,5/13/22,869,80
USA/AL-CDC-STM-W9BX7YEQT/2022,6/24/22,911,81
USA/AR-CDC-QDX34164983/2022,2/21/22,788,58
USA/AR-UAMS001/2020,4/1/20,97,9
USA/AR-UMGC-34086/2022,1/26/22,762,58
USA/AZ-CDC-LC0556241/2022,2/22/22,789,58
USA/AZ-CDC-LC0705160/2022,6/1/22,888,82
USA/AZ-CDC-STM-000732048/2021,9/16/21,630,36
USA/AZ-CDC-STM-F3RH9MUTV/2022,7/1/22,918,87
USA/B016384/2022,5/4/22,860,83
USA/C014142741/2022,2/2/22,769,60
USA/C014167729/2020,12/2/20,342,21
USA/CA-CDC-02993471-001/2020,1/23/20,28,7
USA/CA-CDC-ASC210860334/2022,2/16/22,783,59
USA/CA-CDC-FG-151042/2021,10/15/21,659,39
USA/CA-CDC-FG-166688/2021,11/8/21,683,36
USA/CA-CDC-FG-191432/2021,12/9/21,714,41
USA/CA-CDC-FG-260610/2022,1/31/22,767,58
USA/CA-CDC-LC0377851/2021,11/9/21,684,45
USA/CA-CDC-LC0565777/2022,3/18/22,813,60
USA/CA-CDC-LC0582837/2022,4/18/22,844,75
USA/CA-CDC-LC0710640/2022,6/7/22,894,79
USA/CA-CDC-LC0752085/2022,7/2/22,919,85
USA/CA-CDC-STM-TBR5RWXR7/2022,5/31/22,887,81
USA/CO-CDC-2-5800412/2022,3/21/22,816,81
USA/CO-CDC-LC0697183/2022,5/31/22,887,86
USA/CO-CDC-LC0704794/2022,6/3/22,890,80
USA/CO-CDC-MMB08880626/2021,5/19/21,510,39
USA/CO-CDC-MMB13791956/2022,1/22/22,758,57
USA/CO-CDC-MMB14554412/2022,2/25/22,792,61
USA/CO-CDC-MMB14916085/2022,4/3/22,829,76
USA/CO-CDC-STM-PH256MUHK/2022,7/5/22,922,81
USA/COVID20-0588/2020,6/19/20,176,12
USA/CT-CDC-ASC210689321/2022,1/31/22,767,59
USA/CT-CDC-ASC210853645/2022,4/8/22,834,77
USA/CT-CDC-LC0272700/2021,9/10/21,624,31
USA/CT-CDC-LC0398223/2021,11/20/21,695,49
USA/CT-CDC-LC0613263/2022,5/4/22,860,78
USA/CT-CDC-LC0714681/2022,6/16/22,903,80
USA/CT-CDC-QDX25704331/2021,6/7/21,529,38
USA/CT-CDC-QDX35326845/2022,3/26/22,821,76
USA/CT-CDCBI-CRSP_J6X6UV4FH7ECAPLU/2022,2/21/22,788,59
USA/CT-CDCBI-CRSP_UDOCUQJ3KTLMCWST/2022,7/1/22,918,83
USA/CT-UW-510/2020,6/8/20,165,13
USA/CT-Yale-088/2020,4/6/20,102,5
USA/CT-Yale-333/2020,5/12/20,138,11
USA/DC-CDC-LC0507723/2022,1/23/22,759,54
USA/DC-CDC-LC0542879/2022,2/17/22,784,57
USA/DC-CDC-LC0567510/2022,3/26/22,821,74
USA/DC-CDC-LC0592602/2022,4/19/22,845,80
USA/DC-CDC-LC0661144/2022,5/22/22,878,82
USA/DC-CDC-LC0683255/2022,6/2/22,889,80
USA/DC-CDC-LC0755422/2022,7/2/22,919,83
USA/DC-DFS-PHL-0624/2021,6/3/21,525,41
USA/DE-CDC-ASC210108586/2021,6/10/21,532,43
USA/DE-CDC-ASC210648672/2022,2/2/22,769,57
USA/DE-CDC-ASC210847450/2022,3/24/22,819,77
USA/DE-CDC-LC0607238/2022,4/28/22,854,76
USA/DE-CDC-STM-6RP73JP8Q/2022,5/8/22,864,81
USA/DE-CDC-STM-PTERK6NV3/2022,7/1/22,918,84
USA/DE-CDC-STM-U4JE7VVT9/2022,6/14/22,901,87
USA/FL-BPHL-1682/2020,8/11/20,229,16
USA/FL-BPHL-3105/2021,4/28/21,489,36
USA/FL-BPHL-8724/2022,5/9/22,865,81
USA/FL-CDC-LC0507543/2022,1/24/22,760,58
USA/FL-CDC-LC0599438/2022,4/27/22,853,76
USA/FL-CDC-LC0744983/2022,6/27/22,914,83
USA/FL-CDC-STM-PTCQGXJMU/2022,3/22/22,817,75
USA/FL-CDC-STM-QXP6X2F3P/2022,2/25/22,792,58
USA/FL-CDC-STM-U6RU7P2MU/2022,7/1/22,918,83
USA/FL-QDX-1775/2020,3/16/20,81,7
USA/GA-CDC-LC0597790/2022,4/24/22,850,83
USA/GA-CDC-LC0612062/2022,5/4/22,860,77
USA/GA-CDC-LC0679677/2022,6/1/22,888,80
USA/GA-CDC-MMB14491148/2022,2/22/22,789,60
USA/GA-CDC-QDX33117419/2022,1/20/22,756,57
USA/GA-CDC-QDX35083768/2022,3/21/22,816,78
USA/GA-CDC-STM-EPNACQ4WA/2022,7/5/22,922,81
USA/GA-EHC-486T/2020,8/1/20,219,11
USA/GA-GPHL-1929/2021,9/20/21,634,32
USA/GU-CDC-2-4634663/2021,2/18/21,420,26
USA/GU-CDC-2-4651451/2021,6/21/21,543,35
USA/GU-CDC-2-5400920/2021,11/12/21,687,46
USA/GU-CDC-2-5692995/2022,1/18/22,754,61
USA/GU-CDC-2-5776794/2022,2/8/22,775,78
USA/GU-CDC-2-5876300/2022,3/2/22,797,81
USA/GU-CDC-2-6162350/2022,4/18/22,844,82
USA/HI-CDC-ASC210651956/2022,2/6/22,773,62
USA/HI-CDC-LC0580150/2022,4/13/22,839,77
USA/HI-CDC-LC0641695/2022,5/16/22,872,79
USA/HI-CDC-LC0721259/2022,6/16/22,903,83
