strain,date,url,clade_membership,current_frequency,mutational_fitness,country,region,division,genbank_accession,host,pango_lineage,S1_mutations,epiweek,emerging_lineage,recency,author,accession,submitting_lab,originating_lab,logistic_growth
KEN/SS8366/2022,2022-04-22,,21L (Omicron),,1.34,Kenya,Africa,Kenya,ON603280,Homo sapiens,BA.2.3,25,202216,,Older,Githinji et al FG,,,,
USA/GU-CDC-2-6162350/2022,2022-04-18,,21L (Omicron),,1.37,USA,North America,Guam,ON998180,Homo sapiens,BA.2.3,25,202216,,3-7 days ago,Sheth et al AE,,,,
MYS/H9_20884/2022,2022-02-28,,21L (Omicron),,1.37,Malaysia,Asia,Malaysia,ON527372,Homo sapiens,BA.2.3,26,202209,,Older,Chan et al AJ,,,,
USA/AK-PHL18374/2022,2022-02-27,,21L (Omicron),,1.37,USA,North America,Alaska,ON038243,Homo sapiens,BA.2.3,24,202209,,Older,Zidek et al B,,,,
USA/LA-CDC-QDX34884584/2022,2022-03-14,,21L (Omicron),,1.37,USA,North America,Louisiana,ON111845,Homo sapiens,BA.2.3,26,202211,,Older,Howard et al IP,,CDC-OAMD,Quest Diagnostics Incorporated,
USA/GU-CDC-2-5776794/2022,2022-02-08,,21L (Omicron),,1.31,USA,North America,Guam,ON333334,Homo sapiens,BA.2.3.17,25,202206,,Older,Sheth et al AF,,CDC DVD Genomics and DIscovery Team,Guam Public Health Laboratory,
USA/MP-CDC-2-5839047/2022,2022-03-07,,21L (Omicron),,1.34,USA,North America,Northern Mariana Islands,ON318542,Homo sapiens,BA.2.3.17,25,202210,,Older,Sheth et al AG,,CDC DVD Genomics and DIscovery Team,Commonwealth Healthcare Center,
USA/GU-CDC-2-5876300/2022,2022-03-02,,21L (Omicron),,1.37,USA,North America,Guam,ON384059,Homo sapiens,BA.2.3,25,202209,,Older,Sheth et al AH,,CDC DVD Genomics and DIscovery Team,Guam Public Health Laboratory,
USA/MP-CDC-2-6113757/2022,2022-05-03,,21L (Omicron),,1.37,USA,North America,Northern Mariana Islands,ON876931,Homo sapiens,BA.2.3,25,202218,,One month ago,Sheth et al AI,,CDC DVD Genomics and DIscovery Team,Commonwealth Healthcare Center,
MYS/H65_35636/2022,2022-05-09,,21L (Omicron),,1.37,Malaysia,Asia,Malaysia,ON651672,Homo sapiens,BA.2.3,25,202219,,Older,Chan et al AK,,,,
VNM/OUCRU-NHTD876/2022,2022-04-03,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON779794,Homo sapiens,BA.2.3,25,202214,,Older,Kesteman et al Q,,,,
VNM/OUCRU-NHTD884/2022,2022-04-04,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON779802,Homo sapiens,BA.2.3,25,202214,,Older,Kesteman et al R,,,,
Japan/SZ-NIG-Y220039/2022,2022-04-04,,21L (Omicron),,1.37,Japan,Asia,Shizuoka,BS004542,Homo sapiens,BA.2.3,25,202214,,Older,Nagaoka et al AD,,,,
Japan/SZ-NIG-Y220256/2022,2022-05-07,,21L (Omicron),,1.37,Japan,Asia,Shizuoka,BS004659,Homo sapiens,BA.2.3,25,202218,,Older,Nagaoka et al AE,,,,
Japan/SZ-NIG-Y214154/2022,2022-03-22,,21L (Omicron),,1.37,Japan,Asia,Shizuoka,BS004241,Homo sapiens,BA.2.3.1,26,202212,,Older,Nagaoka et al AF,,,,
Japan/SZ-NIG-Y220297/2022,2022-05-10,,21L (Omicron),,1.36,Japan,Asia,Shizuoka,BS004688,Homo sapiens,BA.2.3.1,26,202219,,Older,Nagaoka et al AG,,,,
Japan/SZ-NIG-Y220037/2022,2022-04-02,,21L (Omicron),,1.37,Japan,Asia,Shizuoka,BS004541,Homo sapiens,BA.2.3,25,202213,,Older,Nagaoka et al AH,,,,
Japan/SZ-NIG-Y220121/2022,2022-04-13,,21L (Omicron),,1.37,Japan,Asia,Shizuoka,BS004594,Homo sapiens,BA.2.3,26,202215,,Older,Nagaoka et al AI,,,,
Japan/SZ-NIG-Y214026/2022,2022-03-10,,21L (Omicron),,1.4,Japan,Asia,Shizuoka,BS004163,Homo sapiens,BA.2.3.11,25,202210,,Older,Nagaoka et al AJ,,,,
Japan/SZ-NIG-Y220120/2022,2022-04-13,,21L (Omicron),,1.4,Japan,Asia,Shizuoka,BS004593,Homo sapiens,BA.2.3.11,25,202215,,Older,Nagaoka et al AK,,,,
Japan/SZ-NIG-Y214065/2022,2022-03-14,,21L (Omicron),,1.4,Japan,Asia,Shizuoka,BS004178,Homo sapiens,BA.2.3.11,25,202211,,Older,Nagaoka et al AL,,,,
Japan/SZ-NIG-4-C6198/2022,2022-03-22,,21L (Omicron),,1.44,Japan,Asia,Shizuoka,BS004357,Homo sapiens,BA.2.3.11,25,202212,,Older,Tsuchiya et al S,,,,
Japan/SZ-NIG-Y220197/2022,2022-04-25,,21L (Omicron),,1.4,Japan,Asia,Shizuoka,BS004628,Homo sapiens,BA.2.3.11,25,202217,,Older,Nagaoka et al AM,,,,
Japan/SZ-NIG-Y220230/2022,2022-05-01,,21L (Omicron),,1.4,Japan,Asia,Shizuoka,BS004642,Homo sapiens,BA.2.3.11,25,202218,,Older,Nagaoka et al AN,,,,
KEN/SS6947/2022,2022-01-22,,21L (Omicron),,1.37,Kenya,Africa,Kenya,ON198929,Homo sapiens,BA.2.3,25,202203,,Older,Githinji et al FH,,,,
USA/MP-CDC-2-5772922/2022,2022-02-22,,21L (Omicron),,1.37,USA,North America,Northern Mariana Islands,ON333407,Homo sapiens,BA.2.3,25,202208,,Older,Sheth et al AJ,,CDC DVD Genomics and DIscovery Team,Commonwealth Healthcare Center,
USA/NC-CDC-LC0586092/2022,2022-04-19,,21L (Omicron),,1.37,USA,North America,North Carolina,ON397106,Homo sapiens,BA.2.3,26,202216,,Older,Howard et al IQ,,CDC-OAMD,Laboratory Corporation of America,
USA/PA-CDC-LC0591878/2022,2022-04-25,,21L (Omicron),,1.37,USA,North America,Pennsylvania,ON415220,Homo sapiens,BA.2.3,26,202217,,Older,Howard et al IR,,CDC-OAMD,Laboratory Corporation of America,
VNM/OUCRU-NHTD706/2022,2022-03-06,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764653,Homo sapiens,BA.2.3,25,202210,,Older,Kesteman et al S,,,,
MYS/H60_25665/2022,2022-04-18,,21L (Omicron),,1.38,Malaysia,Asia,Malaysia,ON631958,Homo sapiens,BA.2.3,25,202216,,Older,Chan et al AL,,,,
USA/VT-Broad-CRSP_4SYV24CS436L3JDI/2022,2022-04-10,,21L (Omicron),,1.39,USA,North America,Vermont,ON328983,Homo sapiens,BA.2.3.6,26,202215,,Older,Lemieux et al AD,,Broad Institute Genomic Center for Infectious Diseases,Broad Institute Clinical Research Sequencing Platform,
USA/NE-CDC-LC0607382/2022,2022-04-18,,21L (Omicron),,1.38,USA,North America,Nebraska,ON497275,Homo sapiens,BA.2.3.6,26,202216,,Older,Howard et al IS,,CDC-OAMD,Laboratory Corporation of America,
VNM/OUCRU-NHTD770/2022,2022-03-14,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764717,Homo sapiens,BA.2.3,26,202211,,Older,Kesteman et al T,,,,
MYS/M48_33741/2022,2022-04-11,,21L (Omicron),,1.37,Malaysia,Asia,Malaysia,ON631932,Homo sapiens,BA.2.3,25,202215,,Older,Chan et al AM,,,,
VNM/OUCRU-NHTD1031/2022,2022-05-07,,21L (Omicron),,1.38,Vietnam,Asia,Vietnam,ON779944,Homo sapiens,BA.2.3,26,202218,,Older,Kesteman et al U,,,,
VNM/OUCRU-NHTD664/2022,2022-03-03,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764611,Homo sapiens,BA.2.3,25,202209,,Older,Kesteman et al V,,,,
USA/WA-CDC-QDX35374746/2022,2022-03-27,,21L (Omicron),,1.37,USA,North America,Washington,ON270018,Homo sapiens,BA.2.3.15,26,202213,,Older,Howard et al IT,,CDC-OAMD,Quest Diagnostics Incorporated,
MYS/H15_21346/2022,2022-03-03,,21L (Omicron),,1.37,Malaysia,Asia,Malaysia,ON527377,Homo sapiens,BA.2.3,25,202209,,Older,Chan et al AN,,,,
VNM/OUCRU-NHTD757/2022,2022-03-12,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764704,Homo sapiens,BA.2.3,25,202210,,Older,Kesteman et al W,,,,
KEN/SS7488/2022,2022-02-24,,21L (Omicron),,1.37,Kenya,Africa,Kenya,ON602899,Homo sapiens,BA.2.3.2,25,202208,,Older,Githinji et al FI,,,,
VNM/OUCRU-NHTD870/2022,2022-04-03,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON779788,Homo sapiens,BA.2.3.2,25,202214,,Older,Kesteman et al X,,,,
USA/TX-CDC-ASC210738599/2022,2022-03-24,,21L (Omicron),,1.37,USA,North America,Texas,ON141343,Homo sapiens,BA.2.3.2,25,202212,,Older,Howard et al IU,,CDC-OAMD,Aegis Sciences Corporation,
VNM/OUCRU-NHTD735/2022,2022-03-09,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764682,Homo sapiens,BA.2.3.2,25,202210,,Older,Kesteman et al Y,,,,
VNM/OUCRU-NHTD1060/2022,2022-05-13,,21L (Omicron),0,1.33,Vietnam,Asia,Vietnam,ON779972,Homo sapiens,BA.2.3.2,25,202219,,Older,Kesteman et al Z,,,,
KEN/SS7487/2022,2022-02-24,,21L (Omicron),,1.37,Kenya,Africa,Kenya,ON602898,Homo sapiens,BA.2.3.2,25,202208,,Older,Githinji et al FJ,,,,
VNM/OUCRU-NHTD942/2022,2022-04-11,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON779857,Homo sapiens,BA.2.3.2,25,202215,,Older,Kesteman et al AA,,,,
VNM/OUCRU-NHTD714/2022,2022-03-06,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764661,Homo sapiens,BA.2.3.2,25,202210,,Older,Kesteman et al AB,,,,
VNM/OUCRU-NHTD733/2022,2022-03-09,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764680,Homo sapiens,BA.2.3.2,25,202210,,Older,Kesteman et al AC,,,,
VNM/OUCRU-NHTD646/2022,2022-02-21,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764594,Homo sapiens,BA.2.3.2,25,202208,,Older,Kesteman et al AD,,,,
Japan/PG-242245/2022,2022-04-26,,21L (Omicron),,1.41,Japan,Asia,Shizuoka,BS004468,Homo sapiens,BA.2.3.2,26,202217,,Older,Hikida et al F,,,,
VNM/OUCRU-NHTD1077/2022,2022-05-19,,21L (Omicron),0,1.37,Vietnam,Asia,Vietnam,ON779986,Homo sapiens,BA.2.3.2,25,202220,,Older,Kesteman et al AE,,,,-15.13
VNM/OUCRU-NHTD1085/2022,2022-05-19,,21L (Omicron),0,1.37,Vietnam,Asia,Vietnam,ON779994,Homo sapiens,BA.2.3.2,25,202220,,Older,Kesteman et al AF,,,,-15.13
LAO/LOMWRU-0266/2022,2022-05-11,,21L (Omicron),,1.37,Laos,Asia,Vientiane,ON922853,Homo sapiens,BA.2.3.2,25,202219,,One week ago,Souksavanh et al S,,,,
LAO/LOMWRU-0269/2022,2022-05-20,,21L (Omicron),0,1.37,Laos,Asia,Vientiane,ON922856,Homo sapiens,BA.2.3.2,25,202220,,One week ago,Souksavanh et al T,,,,-15.13
KEN/SS7492/2022,2022-03-02,,21L (Omicron),,1.37,Kenya,Africa,Kenya,ON602901,Homo sapiens,BA.2.3.2,25,202209,,Older,Githinji et al FK,,,,
VNM/OUCRU-NHTD668/2022,2022-03-03,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764615,Homo sapiens,BA.2.3.2,25,202209,,Older,Kesteman et al AG,,,,
LAO/LOMWRU-0267/2022,2022-05-17,,21L (Omicron),0,1.37,Laos,Asia,Vientiane,ON922854,Homo sapiens,BA.2.3.2,25,202220,,One week ago,Souksavanh et al U,,,,-15.13
VNM/OUCRU-NHTD785/2022,2022-03-15,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764732,Homo sapiens,BA.2.3.2,25,202211,,Older,Kesteman et al AH,,,,
VNM/OUCRU-NHTD831/2022,2022-03-23,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764778,Homo sapiens,BA.2.3.2,25,202212,,Older,Kesteman et al AI,,,,
VNM/OUCRU-NHTD838/2022,2022-03-25,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764785,Homo sapiens,BA.2.3.2,25,202212,,Older,Kesteman et al AJ,,,,
VNM/OUCRU-NHTD882/2022,2022-04-04,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON779800,Homo sapiens,BA.2.3.2,25,202214,,Older,Kesteman et al AK,,,,
VNM/OUCRU-NHTD1069/2022,2022-05-17,,21L (Omicron),0,1.37,Vietnam,Asia,Vietnam,ON779979,Homo sapiens,BA.2.3.2,25,202220,,Older,Kesteman et al AL,,,,-15.13
MYS/K13_3013/2022,2022-04-05,,21L (Omicron),,1.38,Malaysia,Asia,Malaysia,ON631948,Homo sapiens,BA.2.3,25,202214,,Older,Chan et al AO,,,,
VNM/OUCRU-NHTD1025/2022,2022-05-03,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON779938,Homo sapiens,BA.2.3,25,202218,,Older,Kesteman et al AM,,,,
VNM/OUCRU-NHTD1087/2022,2022-05-12,,21L (Omicron),0,1.39,Vietnam,Asia,Vietnam,ON779996,Homo sapiens,BA.2.3,25,202219,,Older,Kesteman et al AN,,,,
MYS/H39_24295/2022,2022-04-01,,21L (Omicron),,1.37,Malaysia,Asia,Malaysia,ON652326,Homo sapiens,BA.2.3,25,202213,,Older,Chan et al AP,,,,
MYS/M59_33891/2022,2022-04-15,,21L (Omicron),,1.37,Malaysia,Asia,Malaysia,ON651679,Homo sapiens,BA.2.3,25,202215,,Older,Chan et al AQ,,,,
VNM/OUCRU-NHTD998/2022,2022-04-27,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON779912,Homo sapiens,BA.2.3,25,202217,,Older,Kesteman et al AO,,,,
USA/ID-CDC-LC0570608/2022,2022-03-31,,21L (Omicron),,1.38,USA,North America,Idaho,ON233205,Homo sapiens,BA.2.3,25,202213,,Older,Howard et al IV,,CDC-OAMD,Laboratory Corporation of America,
DJI/NAMRU3_E452/2022,2022-04-27,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON951988,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al X,,,,
DJI/NAMRU3_G594/2022,2022-04-13,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON952008,Homo sapiens,BA.2.3,25,202215,,One week ago,Arnold et al Y,,,,
DJI/NAMRU3_E944/2022,2022-04-30,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON952004,Homo sapiens,BA.2.3,26,202217,,One week ago,Arnold et al Z,,,,
DJI/NAMRU3_E379/2022,2022-04-27,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON951997,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AA,,,,
DJI/NAMRU3_C852/2022,2022-04-27,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON951994,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AB,,,,
DJI/NAMRU3_C851/2022,2022-04-27,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON951993,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AC,,,,
DJI/NAMRU3_G793/2022,2022-04-27,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON952010,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AD,,,,
DJI/NAMRU3_C868/2022,2022-04-27,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON951996,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AE,,,,
DJI/NAMRU3_C853/2022,2022-04-27,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON951995,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AF,,,,
DJI/NAMRU3_G791/2022,2022-04-27,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON952009,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AG,,,,
DJI/NAMRU3_E424/2022,2022-04-27,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON951998,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AH,,,,
DJI/NAMRU3_E501/2022,2022-04-29,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON952000,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AI,,,,
DJI/NAMRU3_G796/2022,2022-04-27,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON951989,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AJ,,,,
DJI/NAMRU3_E467/2022,2022-04-29,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON951999,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AK,,,,
DJI/NAMRU3_E521/2022,2022-04-29,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON952002,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AL,,,,
DJI/NAMRU3_E945/2022,2022-04-30,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON952005,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AM,,,,
DJI/NAMRU3_E953/2022,2022-04-30,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON952007,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AN,,,,
DJI/NAMRU3_E502/2022,2022-04-28,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON952001,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AO,,,,
DJI/NAMRU3_E952/2022,2022-04-29,,21L (Omicron),,1.36,Djibouti,Africa,Djibouti,ON952006,Homo sapiens,BA.2.3,25,202217,,One week ago,Arnold et al AP,,,,
USA/OR-CDC-LC0568382/2022,2022-03-24,,21L (Omicron),,1.38,USA,North America,Oregon,ON151820,Homo sapiens,BA.2.3,25,202212,,Older,Howard et al IW,,CDC-OAMD,Laboratory Corporation of America,
USA/MP-CDC-2-5807371/2022,2022-01-28,,21L (Omicron),,1.37,USA,North America,Northern Mariana Islands,ON260252,Homo sapiens,BA.2.3,25,202204,,Older,Sheth et al AK,,CDC DVD Genomics and DIscovery Team,Commonwealth Healthcare Center,
Japan/PG-243864/2022,2022-05-02,,21L (Omicron),,1.37,Japan,Asia,Shizuoka,BS004487,Homo sapiens,BA.2.3.13,25,202218,,Older,Hikida et al G,,,,
Japan/PG-256392/2022,2022-06-05,,21L (Omicron),0,1.36,Japan,Asia,Shizuoka,BS004750,Homo sapiens,BA.2.3.13,25,202223,,Older,Hikida et al H,,,,-12.6
Japan/PG-264431/2022,2022-06-07,,21L (Omicron),0,1.37,Japan,Asia,Shizuoka,BS004754,Homo sapiens,BA.2.3.13,25,202223,,One week ago,Hikida et al I,,,,-12.6
Japan/PG-264445/2022,2022-06-26,,21L (Omicron),0,1.43,Japan,Asia,Shizuoka,BS004766,Homo sapiens,BA.2.3.13,25,202226,,One week ago,Hikida et al J,,,,-12.6
Japan/PG-250556/2022,2022-05-17,,21L (Omicron),0,1.37,Japan,Asia,Shizuoka,BS004527,Homo sapiens,BA.2.3.13,25,202220,,Older,Hikida et al K,,,,-12.6
VNM/OUCRU-NHTD676/2022,2022-03-03,,21L (Omicron),,1.37,Vietnam,Asia,Vietnam,ON764623,Homo sapiens,BA.2.3,25,202209,,Older,Kesteman et al AP,,,,
Switzerland/LU-DIA-011452070001/2022,2022-05-02,,21L (Omicron),,1.38,Switzerland,Europe,Lucerne,OW999151,Homo sapiens,BA.2.3,25,202218,,Older,? DT,,Medisupport,"Bioanalytika AG, Luzern, Switzerland",
USA/MP-CDC-2-5903899/2022,2022-04-04,,21L (Omicron),,1.37,USA,North America,Northern Mariana Islands,ON402697,Homo sapiens,BA.2.3,25,202214,,Older,Sheth et al AL,,CDC DVD Genomics and DIscovery Team,Commonwealth Healthcare Center,
Japan/PG-242247/2022,2022-04-26,,21L (Omicron),,1.38,Japan,Asia,Shizuoka,BS004469,Homo sapiens,BA.2.3,25,202217,,Older,Hikida et al L,,,,
Japan/SZ-NIG-Y220449/2022,2022-06-12,,21L (Omicron),0,1.38,Japan,Asia,Shizuoka,BS004835,Homo sapiens,BA.2.3,25,202224,,One week ago,Nagaoka et al AO,,,,-12.6
MYS/H64_35401/2022,2022-05-07,,21L (Omicron),,1.37,Malaysia,Asia,Malaysia,ON651671,Homo sapiens,BA.2.3,25,202218,,Older,Chan et al AR,,,,
USA/CT-CDC-ASC210853645/2022,2022-04-08,,21L (Omicron),,1.37,USA,North America,Connecticut,ON310233,Homo sapiens,BA.2.3,25,202214,,Older,Howard et al IX,,CDC-OAMD,Aegis Sciences Corporation,
OX075493,2022-03-15,,21L (Omicron),,1.38,United Kingdom,Europe,England,OX075493,Homo sapiens,BA.2.3.12,25,202211,,Older,? A,,Quadram Institute Bioscience,Quadram Institute Bioscience,
THA/CONI-3215/2022,2022-05-13,,21L (Omicron),0,1.4,Thailand,Asia,Bangkok,ON911178,Homo sapiens,BA.2.3.11,25,202219,,One week ago,Batty et al BE,,,,
Switzerland/SO-ETHZ-37420100/2022,2022-05-10,,21L (Omicron),,1.38,Switzerland,Europe,Solothurn,OX097932,Homo sapiens,BA.2.3,24,202219,,One month ago,? DU,,ETH ZURICH D-BSSE,"Viollier AG; Hagmattstrasse 14, 4123 Allschwil",
Switzerland/SZ-Risch-2241303407/2022,2022-04-08,,21L (Omicron),,1.38,Switzerland,Europe,Schwyz,OW605228,Homo sapiens,BA.2.3,25,202214,,Older,? DV,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",
OW718264,2022-03-30,,21L (Omicron),,1.37,Germany,Europe,Baden-Wuerttemberg,OW718264,Homo sapiens,BA.2.3,25,202213,,Older,? D,,Robert Koch Institute,"Limbach - MVZ Labor Ravensburg Labor Dr. Gärtner, Elisabethenstraße 11; 88212 Ravensburg",
USA/KS-CDC-QDX36867127/2022,2022-05-09,,21L (Omicron),,1.38,USA,North America,Kansas,ON633975,Homo sapiens,BA.2.3,26,202219,,Older,Howard et al IY,,CDC-OAMD,Quest Diagnostics Incorporated,
USA/VI-CDC-2-5876387/2022,2022-03-29,,21L (Omicron),,1.37,USA,North America,Virgin Islands,ON384246,Homo sapiens,BA.2.3,25,202213,,Older,Sheth et al AM,,CDC DVD Genomics and DIscovery Team,VI-US Virgin Islands Department of Health,
USA/VI-CDC-2-6114662/2022,2022-06-03,,21L (Omicron),0,1.37,USA,North America,Virgin Islands,ON877139,Homo sapiens,BA.2.3,25,202222,,One month ago,Sheth et al AN,,CDC DVD Genomics and DIscovery Team,VI-US Virgin Islands Department of Health,-12.6
Japan/PG-247746/2022,2022-05-10,,21L (Omicron),,1.37,Japan,Asia,Shizuoka,BS004511,Homo sapiens,BA.2.3.1,26,202219,,Older,Hikida et al M,,,,
Japan/PG-243858/2022,2022-05-01,,21L (Omicron),,1.37,Japan,Asia,Shizuoka,BS004481,Homo sapiens,BA.2.3.1,26,202218,,Older,Hikida et al N,,,,
Japan/PG-256384/2022,2022-06-01,,21L (Omicron),0,1.37,Japan,Asia,Shizuoka,BS004742,Homo sapiens,BA.2.3.1,26,202222,,Older,Hikida et al O,,,,-12.6
Japan/PG-256386/2022,2022-06-02,,21L (Omicron),0,1.37,Japan,Asia,Shizuoka,BS004744,Homo sapiens,BA.2.3.1,26,202222,,Older,Hikida et al P,,,,-12.6
Japan/PG-264440/2022,2022-06-23,,21L (Omicron),0,1.37,Japan,Asia,Shizuoka,BS004762,Homo sapiens,BA.2.3.1,26,202225,,One week ago,Hikida et al Q,,,,-12.6
USA/NC-CDC-LC0648935/2022,2022-05-16,,21L (Omicron),0,1.35,USA,North America,North Carolina,ON699978,Homo sapiens,BA.2.3,25,202220,,Older,Howard et al IZ,,,,-12.6
USA/NV-CDC-LC0589475/2022,2022-04-10,,21L (Omicron),,1.37,USA,North America,Nevada,ON394915,Homo sapiens,BA.2.3,25,202215,,Older,Howard et al JA,,CDC-OAMD,Laboratory Corporation of America,
USA/VI-CDC-2-5947159/2022,2022-04-13,,21L (Omicron),,1.37,USA,North America,Virgin Islands,ON573493,Homo sapiens,BA.2.3,25,202215,,Older,Sheth et al AO,,CDC DVD Genomics and DIscovery Team,VI-US Virgin Islands Department of Health,
LAO/LOMWRU-0268/2022,2022-05-19,,21L (Omicron),0,1.42,Laos,Asia,Attapeu,ON922855,Homo sapiens,BA.2.3,25,202220,,One week ago,Souksavanh et al V,,,,-12.6
USA/NE-CDC-ASC210849050/2022,2022-03-29,,21L (Omicron),,1.37,USA,North America,Nebraska,ON250042,Homo sapiens,BA.2.3,25,202213,,Older,Howard et al JB,,CDC-OAMD,Aegis Sciences Corporation,
OX073991,2022-03-17,,21L (Omicron),,1.35,United Kingdom,Europe,England,OX073991,Homo sapiens,BA.2,25,202211,,Older,? A,,Quadram Institute Bioscience,Quadram Institute Bioscience,
Denmark/DCGC-458816/2022,2022-03-27,,21L (Omicron),,1.4,Denmark,Europe,Midtjylland,OX131980,Homo sapiens,BA.2,23,202213,,One week ago,Danish Covid-19 Genome et al,,statens serum institut and the danish covid19 genome consortium (dcgc),"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",
FRA/IHUCOVID-071405-Miseq2M/2022,2022-03-07,,21L (Omicron),,1.35,France,Europe,Provence-Alpes-Côte d'Azur,ON366147,Homo sapiens,BA.2,25,202210,,Older,Beye et al I,,,,
FRA/IHUCOVID-064720_Nova1RZ/2022,2022-02-04,,21L (Omicron),,1.34,France,Europe,France,ON268584,Homo sapiens,BA.2,25,202205,,Older,Levasseur et al AD,,,,
OW970040,2022-01-30,,21L (Omicron),,1.35,Denmark,Europe,Sjaelland,OW970040,Homo sapiens,BA.2,25,202205,,Older,Danish Covid-19 Genome et al,,,,
Switzerland/VS-HUG-37546955/2022,2022-03-22,,21L (Omicron),,1.34,Switzerland,Europe,Valais,OW385653,Homo sapiens,BA.2,25,202212,,Older,? DW,,HUG,"Laboratoire de virologie, Geneva, Switzerland",
OW800518,2022-01-18,,21L (Omicron),,1.33,Denmark,Europe,Sjaelland,OW800518,Homo sapiens,BA.2,23,202203,,Older,Danish Covid-19 Genome et al,,,,
OW989526,2022-01-24,,21L (Omicron),,1.35,Denmark,Europe,Midtjylland,OW989526,Homo sapiens,BA.2,25,202204,,Older,Danish Covid-19 Genome et al,,,,
Denmark/DCGC-518797/2022,2022-02-16,,21L (Omicron),,1.35,Denmark,Europe,Hovedstaden,OX203396,Homo sapiens,BA.2,25,202207,,One week ago,Danish Covid-19 Genome et al,,statens serum institut and the danish covid19 genome consortium (dcgc),"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",
Denmark/DCGC-487117/2022,2022-04-16,,21L (Omicron),,1.35,Denmark,Europe,Midtjylland,OX172400,Homo sapiens,BA.2,25,202215,,One week ago,Danish Covid-19 Genome et al,,statens serum institut and the danish covid19 genome consortium (dcgc),"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",
FRA/IHUCOVID-065422_Nova1/2022,2022-01-21,,21L (Omicron),,1.32,France,Europe,France,ON268253,Homo sapiens,BA.2,25,202203,,Older,Levasseur et al AE,,,,
